s_type	g_type	u_type	w_type	trial_eta	test_eta	trial_sig	test_sig	state
fiber2	iso	aper	pro	66.6666666667	66.6666666667	0.348423157895	0.733902170047	1
fiber	iso	aper	pro	56.7901234568	65.8227848101	0.277981033955	1.08727142857	1
dev	calib	petro	pro	51.9480519481	65.8227848101	0.23058098423	0.542641641733	1
model	calib	petro	pro	46.7532467532	57.6923076923	0.187558204746	0.483459580945	1
cmodel	calib	petro	pro	49.3506493506	62.0253164557	0.2142168106	0.6007875	1
petro	calib	petro	pro	61.5384615385	70.3703703704	0.67694391312	1.25695433454	1
fiber2	calib	petro	pro	55.421686747	50.6024096386	0.257512588314	0.223853847886	1
fiber	calib	petro	pro	45.7831325301	54.8780487805	0.178411610105	0.249726803922	1
dev	aper1	petro	pro	48.0519480519	65.8227848101	0.215123128154	0.508610262263	1
model	aper1	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
cmodel	aper1	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	aper1	petro	pro	64.5569620253	71.6049382716	0.854921177734	1.32756	1
fiber2	aper1	petro	pro	60.2409638554	50.6024096386	0.315218721322	0.229399014658	1
fiber	aper1	petro	pro	49.3975903614	56.6265060241	0.221494682493	0.288913328838	1
dev	aper2	petro	pro	48.0519480519	65.8227848101	0.215123128154	0.508610262263	1
model	aper2	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
cmodel	aper2	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	aper2	petro	pro	64.1025641026	71.6049382716	0.825058766692	1.32756	1
fiber2	aper2	petro	pro	60.2409638554	50.6024096386	0.315218721322	0.229399014658	1
fiber	aper2	petro	pro	49.3975903614	54.8780487805	0.221494682493	0.281645745271	1
dev	aper3	petro	pro	48.0519480519	65.3846153846	0.215123128154	0.500205131131	1
model	aper3	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
cmodel	aper3	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	aper3	petro	pro	64.1025641026	71.6049382716	0.825058766692	1.32756	1
fiber2	aper3	petro	pro	60.2409638554	51.2195121951	0.315218721322	0.232256243205	1
fiber	aper3	petro	pro	49.3975903614	56.0975609756	0.221494682493	0.276206861691	1
dev	aper4	petro	pro	48.0519480519	65.3846153846	0.215123128154	0.500205131131	1
model	aper4	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
cmodel	aper4	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	aper4	petro	pro	64.1025641026	71.6049382716	0.825058766692	1.32756	1
fiber2	aper4	petro	pro	60.2409638554	51.2195121951	0.315218721322	0.232256243205	1
fiber	aper4	petro	pro	49.3975903614	56.0975609756	0.221494682493	0.276206861691	1
dev	aper5	petro	pro	48.0519480519	65.3846153846	0.215123128154	0.500205131131	1
model	aper5	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
