s_type	g_type	u_type	w_type	trial_eta	test_eta	trial_sig	test_sig	state
fiber	aper5	aper	aper2	58.024691358	65.0	0.295594670727	1.09578671893	1
dev	auto	aper	aper2	58.6666666667	72.7272727273	0.459267368421	0.5499125	1
model	auto	aper	aper2	61.3333333333	61.8421052632	0.529577262406	0.944714041675	1
cmodel	auto	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	auto	aper	aper2	74.358974359	77.2151898734	0.968395028353	1.6633522562	1
fiber2	auto	aper	aper2	64.1975308642	66.6666666667	0.343743937524	0.700520001292	1
fiber	auto	aper	aper2	58.5365853659	65.0	0.310273585363	1.09578671893	1
dev	iso	aper	aper2	58.6666666667	73.6842105263	0.459267368421	0.55728592429	1
model	iso	aper	aper2	61.3333333333	61.3333333333	0.529577262406	0.906288571429	1
cmodel	iso	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	iso	aper	aper2	74.358974359	77.2151898734	0.968395028353	1.6633522562	1
fiber2	iso	aper	aper2	64.1975308642	66.6666666667	0.343743937524	0.700520001292	1
fiber	iso	aper	aper2	58.024691358	64.5569620253	0.295594670727	1.08071714286	1
dev	calib	petro	aper2	53.2467532468	65.8227848101	0.241544431444	0.485566377246	1
model	calib	petro	aper2	48.0519480519	58.2278481013	0.186914229904	0.553424523661	1
cmodel	calib	petro	aper2	51.9480519481	60.7594936709	0.288108494609	0.548965437149	1
petro	calib	petro	aper2	64.1025641026	71.6049382716	0.73488624337	1.25909131128	1
fiber2	calib	petro	aper2	56.6265060241	51.8072289157	0.276178508069	0.231065	1
fiber	calib	petro	aper2	48.1927710843	52.4390243902	0.178073397245	0.299720264415	1
dev	aper1	petro	aper2	49.3506493506	67.0886075949	0.219034352647	0.4942	1
model	aper1	petro	aper2	53.2467532468	58.2278481013	0.257145126067	0.55285700356	1
cmodel	aper1	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	aper1	petro	aper2	69.6202531646	75.3086419753	0.893428112557	1.41128571429	1
fiber2	aper1	petro	aper2	60.2409638554	48.1927710843	0.315369402608	0.200898515346	1
fiber	aper1	petro	aper2	50.6024096386	56.6265060241	0.250246412944	0.422184126723	1
dev	aper2	petro	aper2	49.3506493506	67.0886075949	0.219034352647	0.4942	1
model	aper2	petro	aper2	53.2467532468	58.2278481013	0.257145126067	0.55285700356	1
cmodel	aper2	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	aper2	petro	aper2	69.2307692308	75.3086419753	0.872499461275	1.41128571429	1
fiber2	aper2	petro	aper2	60.2409638554	48.1927710843	0.315369402608	0.200898515346	1
fiber	aper2	petro	aper2	50.6024096386	56.6265060241	0.250246412944	0.422184126723	1
dev	aper3	petro	aper2	49.3506493506	66.6666666667	0.219034352647	0.488426686634	1
model	aper3	petro	aper2	54.5454545455	60.7594936709	0.281218805502	0.834002236904	1
cmodel	aper3	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	aper3	petro	aper2	69.2307692308	75.3086419753	0.872499461275	1.41128571429	1
fiber2	aper3	petro	aper2	60.2409638554	48.7804878049	0.315369402608	0.201954238718	1
fiber	aper3	petro	aper2	50.6024096386	56.6265060241	0.250246412944	0.422184126723	1
dev	aper4	petro	aper2	49.3506493506	66.6666666667	0.219034352647	0.488426686634	1
model	aper4	petro	aper2	54.5454545455	60.7594936709	0.281218805502	0.834002236904	1
cmodel	aper4	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	aper4	petro	aper2	69.2307692308	75.3086419753	0.872499461275	1.41128571429	1
fiber2	aper4	petro	aper2	60.2409638554	48.7804878049	0.315369402608	0.201954238718	1
fiber	aper4	petro	aper2	50.6024096386	56.6265060241	0.250246412944	0.422184126723	1
dev	aper5	petro	aper2	49.3506493506	66.6666666667	0.219034352647	0.488426686634	1
model	aper5	petro	aper2	54.5454545455	60.7594936709	0.281218805502	0.834002236904	1
cmodel	aper5	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	aper5	petro	aper2	69.2307692308	75.3086419753	0.872499461275	1.41128571429	1
fiber2	aper5	petro	aper2	60.2409638554	48.7804878049	0.315369402608	0.201954238718	1
fiber	aper5	petro	aper2	50.6024096386	56.6265060241	0.250246412944	0.422184126723	1
dev	auto	petro	aper2	49.3506493506	66.6666666667	0.219034352647	0.488426686634	1
model	auto	petro	aper2	53.2467532468	58.2278481013	0.257145126067	0.55285700356	1
cmodel	auto	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	auto	petro	aper2	69.2307692308	75.3086419753	0.872499461275	1.41128571429	1
fiber2	auto	petro	aper2	69.2307692308	74.6987951807	0.872499461275	1.10556	1
fiber	auto	petro	aper2	50.6024096386	56.6265060241	0.250246412944	0.422184126723	1
dev	iso	petro	aper2	49.3506493506	66.6666666667	0.219034352647	0.488426686634	1
model	iso	petro	aper2	54.5454545455	60.7594936709	0.281218805502	0.834002236904	1
cmodel	iso	petro	aper2	53.2467532468	64.5569620253	0.239187556882	0.580582857143	1
petro	iso	petro	aper2	69.2307692308	75.3086419753	0.872499461275	1.41128571429	1
fiber2	iso	petro	aper2	60.2409638554	48.7804878049	0.315369402608	0.201954238718	1
fiber	iso	petro	aper2	50.6024096386	56.0975609756	0.250246412944	0.363532063362	1
dev	calib	aper	aper3	56.0	68.8311688312	0.503830974992	0.565856055557	1
model	calib	aper	aper3	56.0	64.4736842105	0.537769123236	0.937139112993	1
cmodel	calib	aper	aper3	54.6666666667	65.7894736842	0.362300510931	0.580662142857	1
petro	calib	aper	aper3	66.6666666667	75.9493670886	0.932292374311	1.57259019173	1
fiber2	calib	aper	aper3	58.024691358	65.0	0.288231422685	0.49986289057	1
fiber	calib	aper	aper3	49.3827160494	58.2278481013	0.218530147428	0.474478929987	1
dev	aper1	aper	aper3	58.6666666667	72.7272727273	0.429667368421	0.765959111905	1
model	aper1	aper	aper3	62.6666666667	64.9350649351	0.753709473684	0.972924979646	1
cmodel	aper1	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	aper1	aper	aper3	74.358974359	78.75	1.00449659789	1.8708716444	1
fiber2	aper1	aper	aper3	67.9012345679	65.4320987654	0.410653688253	0.785176075597	1
fiber	aper1	aper	aper3	58.024691358	62.5	0.342065	0.948407406672	1
dev	aper2	aper	aper3	58.6666666667	72.7272727273	0.429667368421	0.765959111905	1
model	aper2	aper	aper3	62.6666666667	64.9350649351	0.753709473684	0.972924979646	1
cmodel	aper2	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	aper2	aper	aper3	74.358974359	78.4810126582	1.00449659789	1.83213965244	1
fiber2	aper2	aper	aper3	69.1358024691	65.4320987654	0.43289667282	0.824250152825	1
fiber	aper2	aper	aper3	59.2592592593	64.1975308642	0.365253334744	0.805995009417	1
dev	aper3	aper	aper3	58.6666666667	72.7272727273	0.429667368421	0.765959111905	1
model	aper3	aper	aper3	62.6666666667	64.4736842105	0.753709473684	0.937016775537	1
cmodel	aper3	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	aper3	aper	aper3	74.358974359	78.4810126582	1.00449659789	1.83213965244	1
fiber2	aper3	aper	aper3	69.1358024691	65.0	0.43289667282	0.706592778608	1
fiber	aper3	aper	aper3	59.2592592593	64.1975308642	0.365253334744	0.805995009417	1
dev	aper4	aper	aper3	58.6666666667	72.7272727273	0.429667368421	0.765959111905	1
model	aper4	aper	aper3	62.6666666667	64.4736842105	0.753709473684	0.937016775537	1
cmodel	aper4	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	aper4	aper	aper3	74.358974359	78.4810126582	1.00449659789	1.83213965244	1
fiber2	aper4	aper	aper3	69.1358024691	65.0	0.43289667282	0.706592778608	1
fiber	aper4	aper	aper3	59.2592592593	64.1975308642	0.365253334744	0.805995009417	1
dev	aper5	aper	aper3	58.6666666667	72.7272727273	0.429667368421	0.765959111905	1
model	aper5	aper	aper3	62.6666666667	64.4736842105	0.753709473684	0.937016775537	1
cmodel	aper5	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	aper5	aper	aper3	74.358974359	78.4810126582	1.00449659789	1.83213965244	1
fiber2	aper5	aper	aper3	69.1358024691	65.4320987654	0.43289667282	0.824250152825	1
fiber	aper5	aper	aper3	58.75	64.1975308642	0.354722917372	0.805995009417	1
dev	auto	aper	aper3	58.6666666667	72.7272727273	0.429667368421	0.765959111905	1
model	auto	aper	aper3	62.6666666667	64.4736842105	0.753709473684	0.937016775537	1
cmodel	auto	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	auto	aper	aper3	74.358974359	78.4810126582	1.00449659789	1.83213965244	1
fiber2	auto	aper	aper3	69.1358024691	65.4320987654	0.43289667282	0.824250152825	1
fiber	auto	aper	aper3	59.2592592593	64.1975308642	0.365253334744	0.805995009417	1
dev	iso	aper	aper3	58.6666666667	72.3684210526	0.429667368421	0.765303959069	1
model	iso	aper	aper3	62.6666666667	64.0	0.753709473684	0.901108571429	1
cmodel	iso	aper	aper3	58.6666666667	68.8311688312	0.417983157895	0.715578730851	1
petro	iso	aper	aper3	74.358974359	78.4810126582	1.00449659789	1.83213965244	1
fiber2	iso	aper	aper3	69.1358024691	65.0	0.43289667282	0.706592778608	1
fiber	iso	aper	aper3	58.75	63.75	0.354722917372	0.794535164087	1
dev	calib	petro	aper3	55.8441558442	62.0253164557	0.306951256252	0.489756267463	1
model	calib	petro	aper3	55.8441558442	53.164556962	0.506213058478	0.480203241723	1
cmodel	calib	petro	aper3	54.5454545455	58.2278481013	0.302245166105	0.549695105851	1
petro	calib	petro	aper3	65.3846153846	72.8395061728	0.909301865387	1.48197621066	1
fiber2	calib	petro	aper3	62.6506024096	54.2168674699	0.322780268105	0.281118250479	1
fiber	calib	petro	aper3	50.6024096386	51.2195121951	0.275738450228	0.233470519321	1
dev	aper1	petro	aper3	54.5454545455	67.0886075949	0.305245449951	0.545641390841	1
model	aper1	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	aper1	petro	aper3	58.9743589744	65.8227848101	0.342698194204	0.5987525	1
petro	aper1	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	aper1	petro	aper3	65.0602409639	52.380952381	0.37444	0.250178805323	1
fiber	aper1	petro	aper3	57.8313253012	52.4390243902	0.328829090909	0.265178982105	1
dev	aper2	petro	aper3	54.5454545455	66.6666666667	0.305245449951	0.53312069542	1
model	aper2	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	aper2	petro	aper3	58.4415584416	65.8227848101	0.326510285047	0.5987525	1
petro	aper2	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	aper2	petro	aper3	65.0602409639	51.8072289157	0.37444	0.249332376254	1
fiber	aper2	petro	aper3	57.8313253012	52.4390243902	0.328829090909	0.265178982105	1
dev	aper3	petro	aper3	54.5454545455	66.6666666667	0.305245449951	0.53312069542	1
model	aper3	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	aper3	petro	aper3	58.4415584416	65.8227848101	0.326510285047	0.5987525	1
petro	aper3	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	aper3	petro	aper3	65.0602409639	52.4390243902	0.37444	0.250178805323	1
fiber	aper3	petro	aper3	59.0361445783	53.6585365854	0.359085	0.297559314762	1
dev	aper4	petro	aper3	54.5454545455	66.6666666667	0.305245449951	0.53312069542	1
model	aper4	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	aper4	petro	aper3	58.4415584416	68.3544303797	0.3665775	0.7182	1
petro	aper4	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	aper4	petro	aper3	65.0602409639	52.4390243902	0.37444	0.250178805323	1
fiber	aper4	petro	aper3	60.2409638554	54.2168674699	0.429885449472	0.390121068881	1
dev	aper5	petro	aper3	54.5454545455	66.6666666667	0.305245449951	0.53312069542	1
model	aper5	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	aper5	petro	aper3	58.4415584416	65.8227848101	0.326510285047	0.5987525	1
petro	aper5	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	aper5	petro	aper3	65.0602409639	52.4390243902	0.37444	0.250178805323	1
fiber	aper5	petro	aper3	60.2409638554	54.2168674699	0.429885449472	0.390121068881	1
dev	auto	petro	aper3	54.5454545455	66.6666666667	0.305245449951	0.53312069542	1
model	auto	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	auto	petro	aper3	58.4415584416	65.8227848101	0.326510285047	0.5987525	1
petro	auto	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	auto	petro	aper3	65.0602409639	51.8072289157	0.37444	0.249332376254	1
fiber	auto	petro	aper3	59.0361445783	54.2168674699	0.359085	0.3177375	1
dev	iso	petro	aper3	54.5454545455	66.6666666667	0.305245449951	0.53312069542	1
model	iso	petro	aper3	59.7402597403	60.7594936709	0.557382917873	0.550749071754	1
cmodel	iso	petro	aper3	58.4415584416	68.3544303797	0.3665775	0.7182	1
petro	iso	petro	aper3	74.358974359	79.012345679	0.993594143917	2.1566054685	1
fiber2	iso	petro	aper3	65.0602409639	52.4390243902	0.37444	0.250178805323	1
fiber	iso	petro	aper3	60.2409638554	53.6585365854	0.429885449472	0.35217178444	1
dev	calib	aper	aper4	60.0	83.1168831169	0.766016749531	1.72123523448	1
model	calib	aper	aper4	56.0	75.0	0.97915859044	1.71912416166	1
cmodel	calib	aper	aper4	60.0	79.2207792208	0.739013333333	1.72413907702	1
petro	calib	aper	aper4	72.7272727273	78.4810126582	0.869460510199	1.51029344171	1
fiber2	calib	aper	aper4	58.024691358	66.6666666667	0.291387944216	0.352874374514	1
fiber	calib	aper	aper4	54.3209876543	76.5432098765	0.3636175	1.7887190327	1
dev	aper1	aper	aper4	65.3333333333	81.8181818182	1.07227027305	1.72215827466	1
model	aper1	aper	aper4	66.6666666667	77.9220779221	1.37058145398	1.74490335351	1
cmodel	aper1	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	aper1	aper	aper4	76.9230769231	81.25	1.3748201258	1.65732909481	1
fiber2	aper1	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	aper1	aper	aper4	63.4146341463	82.9268292683	1.0186794646	2.5352865363	1
dev	aper2	aper	aper4	65.3333333333	81.8181818182	1.07227027305	1.72215827466	1
model	aper2	aper	aper4	66.6666666667	77.9220779221	1.37058145398	1.74490335351	1
cmodel	aper2	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	aper2	aper	aper4	76.9230769231	81.0126582278	1.3748201258	1.64028907569	1
fiber2	aper2	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	aper2	aper	aper4	63.4146341463	82.9268292683	1.0186794646	2.5352865363	1
dev	aper3	aper	aper4	65.3333333333	81.8181818182	1.07227027305	1.72215827466	1
model	aper3	aper	aper4	66.6666666667	77.6315789474	1.37058145398	1.72191349468	1
cmodel	aper3	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	aper3	aper	aper4	76.9230769231	81.0126582278	1.3748201258	1.64028907569	1
fiber2	aper3	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	aper3	aper	aper4	63.4146341463	82.7160493827	1.0186794646	2.42398638611	1
dev	aper4	aper	aper4	65.3333333333	81.8181818182	1.07227027305	1.72215827466	1
model	aper4	aper	aper4	66.6666666667	77.6315789474	1.37058145398	1.72191349468	1
cmodel	aper4	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	aper4	aper	aper4	76.9230769231	81.0126582278	1.3748201258	1.64028907569	1
fiber2	aper4	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	aper4	aper	aper4	62.962962963	82.7160493827	0.99347349701	2.42398638611	1
dev	aper5	aper	aper4	65.3333333333	81.8181818182	1.07227027305	1.72215827466	1
model	aper5	aper	aper4	66.6666666667	77.6315789474	1.37058145398	1.72191349468	1
cmodel	aper5	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	aper5	aper	aper4	76.9230769231	81.0126582278	1.3748201258	1.64028907569	1
fiber2	aper5	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	aper5	aper	aper4	62.962962963	82.9268292683	0.99347349701	2.5352865363	1
dev	auto	aper	aper4	65.3333333333	81.8181818182	1.07227027305	1.72215827466	1
model	auto	aper	aper4	66.6666666667	77.6315789474	1.37058145398	1.72191349468	1
cmodel	auto	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	auto	aper	aper4	76.9230769231	81.0126582278	1.3748201258	1.64028907569	1
fiber2	auto	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	auto	aper	aper4	62.962962963	82.7160493827	0.99347349701	2.42398638611	1
dev	iso	aper	aper4	65.3333333333	82.8947368421	1.07227027305	1.78668459188	1
model	iso	aper	aper4	66.6666666667	77.3333333333	1.37058145398	1.69892363584	1
cmodel	iso	aper	aper4	66.6666666667	80.5194805195	0.856578886545	1.73547642595	1
petro	iso	aper	aper4	76.9230769231	81.0126582278	1.3748201258	1.64028907569	1
fiber2	iso	aper	aper4	67.9012345679	68.2926829268	0.36700648904	0.49231231181	1
fiber	iso	aper	aper4	62.962962963	82.7160493827	0.99347349701	2.42398638611	1
dev	calib	petro	aper4	58.4415584416	77.2151898734	0.3650975	1.26381428571	1
model	calib	petro	aper4	57.1428571429	72.1518987342	0.976074766355	1.56848285714	1
cmodel	calib	petro	aper4	57.1428571429	77.5	0.344824959556	1.60823825355	1
petro	calib	petro	aper4	71.7948717949	77.7777777778	0.808511160033	1.53831081319	1
fiber2	calib	petro	aper4	62.6506024096	49.3975903614	0.32315950548	0.201341470777	1
fiber	calib	petro	aper4	57.8313253012	67.4698795181	0.638782451049	1.22438285714	1
dev	aper1	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	aper1	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	aper1	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	aper1	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	aper1	petro	aper4	62.6506024096	51.1904761905	0.362439220566	0.241049520001	1
fiber	aper1	petro	aper4	65.0602409639	75.0	1.07792667249	1.58085704984	1
dev	aper2	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	aper2	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	aper2	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	aper2	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	aper2	petro	aper4	62.6506024096	51.1904761905	0.362439220566	0.241049520001	1
fiber	aper2	petro	aper4	65.0602409639	75.0	1.07792667249	1.58085704984	1
dev	aper3	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	aper3	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	aper3	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	aper3	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	aper3	petro	aper4	62.6506024096	50.6024096386	0.362439220566	0.229955	1
fiber	aper3	petro	aper4	65.0602409639	74.6987951807	1.07792667249	1.58042857143	1
dev	aper4	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	aper4	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	aper4	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	aper4	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	aper4	petro	aper4	74.6987951807	70.5882352941	0.953072319892	1.2478400584	1
fiber	aper4	petro	aper4	65.0602409639	74.6987951807	1.07792667249	1.58042857143	1
dev	aper5	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	aper5	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	aper5	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	aper5	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	aper5	petro	aper4	62.6506024096	51.1904761905	0.362439220566	0.241049520001	1
fiber	aper5	petro	aper4	65.0602409639	75.0	1.07792667249	1.58085704984	1
dev	auto	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	auto	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	auto	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	auto	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	auto	petro	aper4	62.6506024096	50.6024096386	0.362439220566	0.229955	1
fiber	auto	petro	aper4	65.0602409639	75.0	1.07792667249	1.58085704984	1
dev	iso	petro	aper4	62.3376623377	82.2784810127	0.495722105263	1.73626760325	1
model	iso	petro	aper4	63.6363636364	75.9493670886	1.16386744524	1.80571350457	1
cmodel	iso	petro	aper4	62.3376623377	80.0	0.708942380069	1.80469283441	1
petro	iso	petro	aper4	75.641025641	89.0243902439	2.12196847227	2.68469675837	1
fiber2	iso	petro	aper4	74.6987951807	70.5882352941	0.953072319892	1.2478400584	1
fiber	iso	petro	aper4	65.0602409639	74.6987951807	1.07792667249	1.58042857143	1
dev	calib	aper	g	76.6666666667	82.3529411765	0.57392421828	1.10565472147	1
model	calib	aper	g	64.5161290323	70.5882352941	0.516377210178	1.58761714286	1
cmodel	calib	aper	g	73.3333333333	82.3529411765	0.613132314825	1.39823928222	1
petro	calib	aper	g	81.25	70.5882352941	2.28364598474	1.24209	1
fiber2	calib	aper	g	62.5	79.4117647059	0.34783219741	0.660570207657	1
fiber	calib	aper	g	71.875	91.1764705882	0.668426450388	0.943888571429	1
dev	aper1	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	aper1	aper	g	67.7419354839	73.5294117647	0.515806934818	1.58196142857	1
cmodel	aper1	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	aper1	aper	g	81.25	70.5882352941	2.22367050986	1.19695	1
fiber2	aper1	aper	g	84.8484848485	88.5714285714	0.7807897136	0.862945714286	1
fiber	aper1	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	aper2	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	aper2	aper	g	67.7419354839	73.5294117647	0.515806934818	1.58196142857	1
cmodel	aper2	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	aper2	aper	g	81.25	70.5882352941	2.18516194616	1.21164428571	1
fiber2	aper2	aper	g	84.8484848485	88.5714285714	0.7807897136	0.862945714286	1
fiber	aper2	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	aper3	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	aper3	aper	g	67.7419354839	73.5294117647	0.515806934818	1.58196142857	1
cmodel	aper3	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	aper3	aper	g	81.25	70.5882352941	2.18516194616	1.21164428571	1
fiber2	aper3	aper	g	84.8484848485	88.2352941176	0.7807897136	0.832079595	1
fiber	aper3	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	aper4	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	aper4	aper	g	67.7419354839	73.5294117647	0.515806934818	1.58196142857	1
cmodel	aper4	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	aper4	aper	g	81.25	70.5882352941	2.18516194616	1.21164428571	1
fiber2	aper4	aper	g	84.8484848485	88.2352941176	0.7807897136	0.832079595	1
fiber	aper4	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	aper5	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	aper5	aper	g	67.7419354839	73.5294117647	0.515806934818	1.58196142857	1
cmodel	aper5	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	aper5	aper	g	81.25	70.5882352941	2.18516194616	1.21164428571	1
fiber2	aper5	aper	g	84.8484848485	88.2352941176	0.7807897136	0.832079595	1
fiber	aper5	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	auto	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	auto	aper	g	67.7419354839	73.5294117647	0.515806934818	1.58196142857	1
cmodel	auto	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	auto	aper	g	81.25	70.5882352941	2.18516194616	1.21164428571	1
fiber2	auto	aper	g	84.8484848485	88.2352941176	0.7807897136	0.832079595	1
fiber	auto	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	iso	aper	g	76.6666666667	82.3529411765	0.536343328397	1.10129522166	1
model	iso	aper	g	66.6666666667	73.5294117647	0.490472297922	1.58196142857	1
cmodel	iso	aper	g	73.3333333333	82.3529411765	0.564545375594	1.39896682081	1
petro	iso	aper	g	81.25	70.5882352941	2.18516194616	1.21164428571	1
fiber2	iso	aper	g	84.8484848485	88.2352941176	0.7807897136	0.832079595	1
fiber	iso	aper	g	84.375	91.1764705882	0.73094207812	1.00028428571	1
dev	calib	petro	g	70.9677419355	76.4705882353	0.570924048377	0.8790883008	1
model	calib	petro	g	54.8387096774	63.6363636364	0.422702702703	1.09255714286	1
cmodel	calib	petro	g	67.7419354839	79.4117647059	0.62098024361	1.25636142857	1
petro	calib	petro	g	68.75	76.4705882353	0.863043194195	1.49569604632	1
fiber2	calib	petro	g	60.6060606061	82.8571428571	0.2946125	0.781228571429	1
fiber	calib	petro	g	69.696969697	88.2352941176	0.426863157895	0.941702857143	1
dev	aper1	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	aper1	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	aper1	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	aper1	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	aper1	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
fiber	aper1	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
dev	aper2	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	aper2	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	aper2	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	aper2	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	aper2	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
fiber	aper2	petro	g	72.7272727273	88.2352941176	0.456774736842	1.12620285714	1
dev	aper3	petro	g	70.9677419355	76.4705882353	0.5106036878	0.849003816881	1
model	aper3	petro	g	58.064516129	63.6363636364	0.422803738318	1.09255714286	1
cmodel	aper3	petro	g	67.7419354839	79.4117647059	0.498984592069	1.25023	1
petro	aper3	petro	g	68.75	76.4705882353	0.865475009667	1.49204786226	1
fiber2	aper3	petro	g	63.6363636364	85.7142857143	0.309875	0.817386310294	1
