sdss_dr7objid,sdss_dr8objid,RA,DEC,z,z_phot,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err
588017571387670641,1237661817635864688,196.8739,12.73201,0.06345318,0.068587,4.178982,4.422148,4.366243,4.145166,4.056373,4.437637,5.115789,5.039183,4.980741,4.647977,0,20.04193,0.03709299,18.44014,0.005453422,17.68877,0.004505792,17.276,0.003804731,17.00494,0.008010683
588017571389964414,1237661817638158468,202.2422,12.5272,0.08668371,0.105584,4.542381,4.621818,4.743914,4.372897,4.611033,6.550148,6.235718,6.262698,6.17039,6.177588,0,20.14987,0.03499196,18.73496,0.007693434,17.98126,0.005934566,17.49143,0.005755894,17.25751,0.009727601
588298663048773874,1237661434320257265,222.2063,40.93587,0.1569713,0.140597,4.387999,4.038867,3.995496,3.957457,4.022263,4.725965,4.365376,4.300327,4.190955,4.622876,0,21.16409,0.08241455,19.67765,0.01212797,18.70341,0.008498755,18.28851,0.008668199,17.9324,0.02252227
588017571927687197,1237661818175881234,204.2752,12.81349,0.08534345,0.127652,1.276425,2.450988,2.31906,2.327503,2.221876,1.116884,2.459502,2.308362,2.414645,2.297209,0,20.81904,0.08549301,19.18973,0.02127405,18.43552,0.01440702,17.92453,0.01173138,17.69333,0.02473799
588298663575355473,1237661434846838866,190.4261,47.77599,0.1425393,0.169815,5.607207,4.564557,4.141919,4.062722,4.258526,7.114299,5.629669,5.78588,5.815336,5.425224,0,21.18598,0.09810394,19.48357,0.01108717,18.34175,0.007209928,17.8991,0.006734904,17.62129,0.01822608
588298663576666254,1237661434848149617,194.7872,47.4161,0.1315679,0.114244,3.517528,4.200862,4.177383,3.925112,3.910798,3.888264,5.025903,5.206954,5.013054,5.317085,0,20.67943,0.06415474,18.9881,0.00665642,18.03103,0.005531313,17.59863,0.005309329,17.25513,0.01381278
588017603606085740,1237661849854279784,170.8121,43.20244,0.08005284,0.118119,3.007289,2.8414,2.806523,2.678647,2.506623,1.239032,3.456065,3.387283,3.074279,3.286109,0,21.23302,0.07843236,19.49021,0.0114163,18.5989,0.007615754,18.1192,0.005917103,17.80301,0.01410243
588298663578632200,1237661434850115712,201.2622,46.64109,0.08570543,0.114363,2.806081,3.99803,4.133842,4.044959,4.256549,1.775677,4.125779,4.268723,4.156344,5.269238,0,20.81587,0.1973463,19.35829,0.02837532,18.55298,0.01271401,18.13564,0.009412189,17.85723,0.0226862
588017603608248500,1237661849856442545,177.5332,43.86284,0.06883156,0.118313,5.743275,5.699032,5.38151,5.409747,5.28378,5.723222,6.251534,6.115584,6.331253,6.384197,0,20.22129,0.03695878,18.82954,0.006977879,17.99533,0.005218525,17.57575,0.004960326,17.27586,0.01124251
588017603610083435,1237661849858277481,183.3875,44.04285,0.07478803,0.10416,5.167639,5.16955,5.267384,4.704156,4.000462,6.048169,6.332168,6.373415,6.235618,5.875634,0,19.86713,0.03128547,18.34437,0.005704823,17.5762,0.004120433,17.02844,0.003623984,16.71752,0.007821719
588298663580401784,1237661434851885147,207.0155,45.62459,0.1570359,0.210511,6.110357,5.870967,5.41597,5.243286,5.463547,5.197598,6.035676,5.75881,5.931796,5.553645,0,20.97921,0.05688642,19.80944,0.01312057,18.84064,0.009506484,18.37882,0.01057617,18.07165,0.02786041
588017603615326275,1237661849863520317,199.7273,43.09426,0.05716802,0.081373,4.838338,4.961039,4.682274,4.360353,4.442648,5.843174,5.281333,5.142148,4.97583,5.591198,0,21.15027,0.08017226,19.43405,0.01096266,18.48787,0.007084862,17.91385,0.006654777,17.57511,0.01423066
588298664113537289,1237661435385020636,194.9966,47.87568,0.1400646,0.142078,7.151053,3.776125,3.710834,3.742193,18.46025,6.330723,4.491243,4.809824,4.764528,5.051303,0,21.79803,0.1411031,19.79905,0.01077086,18.74041,0.008482075,18.25953,0.008637308,17.9501,0.02027233
588298664115110001,1237661435386593500,200.234,47.3012,0.05807275,0.058619,3.935329,2.796806,3.078081,3.16199,16.52276,4.499959,3.963262,3.808761,3.976717,4.301497,0,20.03242,0.03580822,18.5358,0.005166661,17.94952,0.005260936,17.65056,0.005856578,17.40308,0.01355953
588298664116355157,1237661435387838529,204.333,46.56889,0.06265955,0.080062,3.014656,3.947035,3.575245,3.630504,3.956836,4.217248,4.813618,4.55531,4.597795,4.722503,0,20.34495,0.04428782,18.58835,0.08032174,17.71907,0.1273337,17.2979,0.1213007,16.97858,0.04057619
588298664118386773,1237661435389870244,210.6812,45.19424,0.1277584,0.14601,2.904329,3.181501,3.464241,3.319538,3.632373,3.944866,4.727678,4.874,4.602872,4.510284,0,20.38499,0.04407537,19.00009,0.006680501,18.19748,0.006096992,17.72891,0.006914551,17.51759,0.01206563
588017604137582624,1237661850385776743,154.7445,40.20168,0.1231635,0.145762,5.15985,5.776003,5.947887,5.45773,5.776445,4.824219,5.961164,6.135815,6.108452,6.564564,0,19.97376,0.03503677,18.76002,0.006532254,18.00806,0.005439628,17.56679,0.005079612,17.36641,0.0121365
588017604138369139,1237661850386563185,156.9437,40.80323,0.2077691,0.188278,3.055995,3.3448,3.165198,3.094569,3.147766,4.334821,3.5908,3.530122,3.484917,3.504448,0,20.25909,0.04327246,19.13658,0.01037779,18.24746,0.01019545,17.8409,0.01116168,17.58371,0.01804808
588017604138434826,1237661850386628953,157.1877,40.83275,0.2047275,0.1762,5.314646,5.642092,5.155227,4.331963,3.93634,5.79633,6.684951,6.554895,5.941717,5.306864,0,21.49416,0.1118981,20.00196,0.01372932,18.94407,0.0100618,18.43766,0.009129848,18.12997,0.02153355
588298664654274680,1237661435925758046,207.6981,46.38854,0.06179692,0.07393,4.123194,4.302166,4.00188,3.754203,3.469137,3.705013,5.012215,4.898737,4.955164,4.286015,0,21.18427,0.09259954,19.55078,0.009348589,18.73433,0.008559315,18.31279,0.009088831,17.99148,0.02302268
588298664654536873,1237661435926020228,208.601,46.14817,0.124952,0.075583,2.969939,8.430639,6.929311,6.180835,4.450493,10.92097,7.857807,7.530033,6.753774,5.364651,0,21.2421,0.09767438,19.67597,0.01202926,18.79586,0.008918994,18.38558,0.009595178,18.07663,0.02467864
588298664655913144,1237661435927396579,212.8874,45.28602,0.07106028,0.0814,3.914467,3.002813,3.069903,3.055135,3.128494,4.382207,3.67423,3.730488,3.67098,3.756511,0,19.99692,0.03746501,18.21469,0.005102407,17.52912,0.004101581,17.15658,0.004285736,16.93773,0.01041983
588017604145971314,1237661850394165372,180.1328,44.44526,0.2181338,0.195904,27.92608,3.338039,4.203822,3.841722,4.062354,6.761349,5.15704,5.43058,5.411594,5.712525,0,20.79682,0.05994241,19.3935,0.0104968,18.32405,0.006514043,17.84061,0.005962712,17.54785,0.01355589
588298664659124320,1237661435930607785,222.3363,42.35034,0.1786171,0.20537,2.000861,2.917976,3.266217,3.33637,3.889767,3.929271,4.173456,4.190214,4.082306,4.229161,0,19.93168,0.03563448,18.91488,0.007495779,18.12002,0.005783885,17.79183,0.006378559,17.67115,0.0130397
588298664659321079,1237661435930804441,222.7426,42.00171,0.1453946,0.138613,7.341693,5.852516,5.547002,5.005659,4.864038,6.443402,5.882171,5.592366,5.471155,5.589167,0,21.59055,0.1280532,20.08681,0.01571182,19.12451,0.01121305,18.64413,0.01162978,18.35616,0.03150837
588017604148592718,1237661850396786790,188.5924,44.31763,0.1116901,0.119891,4.346761,4.379884,4.248315,4.17964,3.901905,3.612346,4.431139,4.617285,4.50636,4.248217,0,20.65043,0.05549355,19.24247,0.01347835,18.37863,0.01060672,17.96753,0.01254194,17.65494,0.01740987
587735742074454153,1237661463299358844,228.7389,37.25977,0.1547689,0.173256,7.8708,6.704362,6.164138,5.956706,5.715033,8.185854,7.048825,6.519988,7.02142,7.066285,0,20.86316,0.0530264,19.55471,0.01181519,18.54358,0.007352056,18.0364,0.006714252,17.71758,0.01586775
587735742075175123,1237661463300079790,230.5815,36.31336,0.07432315,0.051304,2.642454,2.916974,2.820254,2.561899,2.578466,3.169096,3.247369,3.28721,3.15795,3.261489,0,20.80606,0.05164775,19.00891,0.008345958,18.19712,0.005924188,17.76338,0.005650654,17.46785,0.0132232
587735742075240625,1237661463300145321,230.6452,36.34964,0.1526905,0.117597,8.947586,5.466979,5.028349,4.368581,4.359526,7.841692,6.909405,6.389614,6.156659,6.334013,0,20.71646,0.0580661,19.18922,0.008145157,18.35554,0.006546102,17.79119,0.00575711,17.54921,0.01403857
588017604151607387,1237661850399801457,198.1017,43.74605,0.1988414,0.203581,6.031246,5.786304,5.635252,5.420073,5.486154,9.034346,5.534595,6.234791,6.378931,6.091807,0,21.36182,0.1053453,19.95129,0.01384433,18.81238,0.00895124,18.352,0.008502248,17.99467,0.01659402
588017604152721514,1237661850400915555,201.5211,43.30772,0.1386547,0.168639,4.215253,3.771003,4.167144,3.871064,3.946278,5.44396,3.985115,4.506703,4.239334,4.096316,0,20.5999,0.05804665,19.32477,0.01036879,18.49765,0.007865642,18.06256,0.007325166,17.78775,0.01431817
588017604153311336,1237661850401505370,203.3821,42.99545,0.07814121,0.056907,4.178504,3.845305,3.898466,3.640906,3.957016,4.679413,4.463894,4.47495,4.520503,3.906061,0,21.06744,0.07331872,19.41518,0.0328599,18.6043,0.04067983,18.21787,0.04105617,17.93336,0.03330064
587735742076354798,1237661463301259489,233.2676,34.84673,0.1575271,0.148769,8.136523,6.052772,6.190309,5.565975,5.326195,9.021952,5.641225,6.092062,5.93891,4.937511,0,21.44714,0.09286937,19.85163,0.01268418,18.8789,0.009186551,18.39858,0.008630747,18.07479,0.02086379
588017604154818680,1237661850403012749,207.8446,42.11467,0.2834262,0.314863,4.094527,4.827813,4.788098,4.915209,4.90081,3.635983,6.160891,6.035841,6.516596,5.779249,0,21.52061,0.1203342,20.18052,0.01812687,19.0053,0.009062964,18.75486,0.0115015,18.29932,0.02160066
587735742077534450,1237661463302439152,235.9481,33.28079,0.1284501,0.126096,10.3211,7.493603,7.175236,6.549384,5.408093,9.525571,7.997041,8.522294,8.338119,8.698747,0,20.98087,0.06707197,19.12245,0.007520612,18.09963,0.006323024,17.66716,0.004560809,17.32433,0.0101925
588017604156457121,1237661850404651143,212.716,41.07014,0.08114178,0.068616,7.258482,7.117862,6.979475,6.994342,6.824525,6.355387,6.886981,6.86369,6.806713,6.406072,0,20.70399,0.06233011,19.02103,0.00785599,18.13922,0.006086416,17.73007,0.006083077,17.42823,0.01162212
587735742086054268,1237661463310958886,252.9345,21.07612,0.05551652,0.059287,5.556122,6.853868,6.616523,6.378059,6.536781,6.391763,9.015812,8.963531,8.49967,8.048906,0,20.36821,0.0451397,18.6086,0.005989943,17.71265,0.005645875,17.29082,0.006011303,16.9564,0.009446462
587735742614733157,1237661463839637861,237.064,33.30079,0.1121623,0.093304,7.287655,6.484069,6.690118,6.452267,6.499827,10.13966,6.757877,6.987653,6.737803,6.887918,0,20.9441,0.06565581,19.46823,0.01096768,18.61607,0.006982902,18.13197,0.007380325,17.80516,0.01710692
587735742614733157,1237661463839637861,237.064,33.30079,0.1122307,0.093304,7.287655,6.484069,6.690118,6.452267,6.499827,10.13966,6.757877,6.987653,6.737803,6.887918,0,20.9441,0.06565581,19.46823,0.01096768,18.61607,0.006982902,18.13197,0.007380325,17.80516,0.01710692
587735742614995141,1237661463839899812,237.5561,32.99588,0.08593396,0.0696,7.89359,7.160805,6.827887,6.732892,6.711432,8.121988,7.669265,7.381745,7.155288,7.615802,0,21.14044,0.08767444,19.28489,0.009729466,18.34162,0.005788343,17.90553,0.006345374,17.53832,0.0140149
587735742617354548,1237661463842259336,242.6425,29.61211,0.1077336,0.10305,26.96662,3.059509,3.114614,3.054753,3.176017,4.858445,4.044138,4.029389,4.047675,3.746716,0,20.7408,0.0639718,19.20906,0.007962571,18.40014,0.007290368,17.96181,0.006880199,17.66121,0.01553063
588017604676485251,1237661850924679300,160.4931,42.15663,0.1185087,0.122849,9.521275,7.679883,7.143129,6.779016,18.95549,8.86571,7.186103,6.867408,6.608419,6.24457,0,21.10625,0.07635409,19.59325,0.01063767,18.72391,0.008307332,18.31878,0.00802375,18.03015,0.02101196
588017627759575168,1237661874007769196,164.4029,44.07137,0.03431229,0.071948,8.806204,12.76726,12.72191,13.06999,12.35669,8.730685,13.86697,14.57638,14.66129,15.02448,0,20.27967,0.05469436,18.43606,0.0060671,17.38732,0.003544039,16.83581,0.003172262,16.3419,0.006091827
588017604677861498,1237661850926055505,164.3984,43.03949,0.07790036,0.087698,2.743613,2.655928,2.423686,2.486236,2.279366,2.854633,3.280086,3.239243,3.228343,3.329166,0,20.85549,0.06672031,19.24187,0.009373564,18.42672,0.006827226,18.03616,0.006572081,17.75903,0.01698123
588017604678910048,1237661850927104119,167.6406,43.60704,0.06334841,0.060232,10.38427,7.869047,6.703312,6.170229,5.842307,9.967545,9.079324,8.500991,8.313728,7.987416,0,20.07928,0.03608431,18.33458,0.005026285,17.49738,0.003971934,17.0575,0.003197908,16.7765,0.007441155
