# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
#
# Results of Query: Database UKIDSSDR9PLUS 09/07/14 20:06
# SELECT my.sdss_dr8objid  sdss_dr8objid, x.distanceMins    
# distanceMins, u.sourceID        ukidss_objid, u.ebv             eBV,  
#  u.yAperMag4       ukidss_y_mag, u.yAperMag4Err    ukidss_y_err,   
# u.j_1AperMag4     ukidss_j_mag, u.j_1AperMag4Err  ukidss_j_err,   
# u.hAperMag4       ukidss_h_mag, u.hAperMag4Err    ukidss_h_err,   
# u.kAperMag4       ukidss_k_mag,    u.kAperMag4Err    ukidss_k_err   
# FROM  lasSourceXDR8PhotoObj x,  lasSource u,  #userTable my   WHERE 
# x.slaveObjID=my.sdss_dr8objID and x.masterObjID=u.sourceID and 
# x.sdssPrimary=1 and x.distanceMins < .01 and u.pNoise < .05   and 
# x.distanceMins IN ( SELECT MIN(distanceMins) FROM 
# lasSourceXDR8PhotoObj WHERE masterObjID=x.masterObjID AND 
# sdssPrimary=1) order by my.sdss_dr8objid,u.sourceid
# Column Headers at start of file AND below
#
# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
 1237648703516442877,     +0.000977,        433868299461,     +0.048518,    +16.186634,     +0.009796,    +15.661908,     +0.010488,    +14.926055,     +0.008861,    +14.498220,     +0.009206
 1237648703517425821,     +0.003169,        433868262046,     +0.047478,    +16.725763,     +0.015396,    +16.187500,     +0.016231,    +15.467607,     +0.013351,    +14.865500,     +0.012155
 1237648703520768342,     +0.002235,        433868312735,     +0.048046,    +15.655058,     +0.006760,    +15.139946,     +0.006991,    +14.463874,     +0.005867,    +14.042549,     +0.008053
 1237648703521751403,     +0.003773,        433868497933,     +0.062775,    +17.184523,     +0.013946,    +16.556929,     +0.017424,    +15.804003,     +0.015956,    +15.022265,     +0.017739
 1237648703523455551,     +0.001069,        433867410177,     +0.070486,    +16.172040,     +0.007561,    +15.548748,     +0.007052,    +14.803077,     +0.005584,    +14.316532,     +0.006347
 1237648703523782963,     +0.005014,        433868478973,     +0.059972,    +17.923813,     +0.035323,    +17.448164,     +0.038654,    +16.743343,     +0.028968,    +16.284613,     +0.034120
 1237648703524241726,     +0.003674,        433868444603,     +0.140516,    +16.063002,     +0.008734,    +15.449615,     +0.008926,    +14.696343,     +0.006838,    +14.194977,     +0.008014
 1237648703524241726,     +0.003674,        433868444603,     +0.140516,    +16.063002,     +0.008734,    +15.449615,     +0.008926,    +14.696343,     +0.006838,    +14.194977,     +0.008014
 1237648703524241726,     +0.003823,        433868473723,     +0.140511,    +16.191780,     +0.008867,    +15.549354,     +0.007622,    +14.683853,     +0.005435,    +14.215670,     +0.006168
 1237648703524241726,     +0.003823,        433868473723,     +0.140511,    +16.191780,     +0.008867,    +15.549354,     +0.007622,    +14.683853,     +0.005435,    +14.215670,     +0.006168
 1237648703525159383,     +0.003447,        433868440567,     +0.114303,    +16.656225,     +0.014519,    +16.015646,     +0.014435,    +15.255136,     +0.011166,    +14.674522,     +0.012114
 1237648703525159663,     +0.003848,        433868441119,     +0.115856,    +17.072730,     +0.020147,    +16.454340,     +0.020847,    +15.600404,     +0.014742,    +14.959063,     +0.015367
 1237648703525290190,     +0.000268,        433868461638,     +0.110189,    +17.080854,     +0.022091,    +16.498856,     +0.023034,    +15.609177,     +0.015788,    +14.912066,     +0.015633
 1237648703525290190,     +0.000268,        433868461638,     +0.110189,    +17.080854,     +0.022091,    +16.498856,     +0.023034,    +15.609177,     +0.015788,    +14.912066,     +0.015633
 1237648703525683615,     +0.002321,        433867395029,     +0.096724,    +16.265417,     +0.010006,    +15.650599,     +0.010294,    +14.914191,     +0.007995,    +14.326901,     +0.008983
 1237648704040534123,     +0.000798,        433866191360,     +0.021007,    +16.589520,     +0.011188,    +15.997567,     +0.010945,    +15.238044,     +0.011234,    +14.514515,     +0.010757
 1237648704040861791,     +0.008785,        433865536276,     +0.024410, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +14.467753,     +0.004976,    +13.812826,     +0.005163
 1237648704040861791,     +0.001135,        433865923272,     +0.024412,    +15.593792,     +0.005010,    +15.007896,     +0.005083,    +14.274179,     +0.003817,    +13.641406,     +0.004281
 1237648704040861791,     +0.000405,        433866189066,     +0.024412,    +15.566081,     +0.005453,    +15.015434,     +0.005025,    +14.250058,     +0.005150,    +13.669506,     +0.005550
 1237648704045187192,     +0.002320,        433865633021,     +0.024827,    +16.688528,     +0.009569,    +16.169062,     +0.011819,    +15.497099,     +0.011736,    +15.045133,     +0.014963
 1237648704045187192,     +0.003763,        433866131487,     +0.024829,    +16.660357,     +0.014159,    +16.214195,     +0.015956,    +15.514417,     +0.010008,    +14.966824,     +0.012003
 1237648704046432575,     +0.003799,        433865781803,     +0.023233,    +16.570112,     +0.009964,    +15.918896,     +0.010979,    +15.188190,     +0.012797,    +14.549310,     +0.011064
 1237648704046432575,     +0.001857,        433866138919,     +0.023232,    +16.527647,     +0.010751,    +15.939421,     +0.011113,    +15.164460,     +0.010132,    +14.550280,     +0.009667
 1237648704046825622,     +0.003652,        433864032813,     +0.028089,    +16.188679,     +0.008068,    +15.591375,     +0.007109,    +14.865396,     +0.007306,    +14.309958,     +0.007240
 1237648704046825622,     +0.001168,        433865408361,     +0.028091, -9.999995E008, -9.999995E008,    +15.569468,     +0.008647,    +14.870060,     +0.010765,    +14.284319,     +0.008956
 1237648704046825622,     +0.000738,        433866137068,     +0.028091,    +16.134169,     +0.007809,    +15.640102,     +0.008434,    +14.874653,     +0.007798,    +14.315900,     +0.007841
 1237648704047612094,     +0.001897,        433866042342,     +0.020969,    +16.525328,     +0.009381,    +15.839942,     +0.011570,    +15.238208,     +0.014130,    +14.871141,     +0.013824
 1237648704047612094,     +0.003058,        433866137678,     +0.020969,    +16.511280,     +0.010234,    +15.978292,     +0.011990,    +15.295100,     +0.011128,    +14.825495,     +0.011940
 1237648704047677620,     +0.001990,        433865738652,     +0.020667,    +17.257084,     +0.017888,    +16.669176,     +0.020795,    +16.017600,     +0.028195,    +15.340061,     +0.021210
 1237648704047677620,     +0.003268,        433866167547,     +0.020667,    +17.223911,     +0.016136,    +16.684673,     +0.017898,    +15.956368,     +0.018717,    +15.380233,     +0.016954
 1237648704048005385,     +0.002217,        433865669948,     +0.025465,    +16.370453,     +0.009167,    +15.823838,     +0.010040,    +15.235003,     +0.013770,    +14.797607,     +0.013229
 1237648704048005385,     +0.001675,        433866147174,     +0.025466,    +16.368696,     +0.008525,    +15.844481,     +0.009305,    +15.183847,     +0.009033,    +14.712634,     +0.010288
 1237648704048201919,     +0.002536,        433865113644,     +0.023969,    +16.927002,     +0.014137,    +16.324461,     +0.016199,    +15.628834,     +0.021042,    +14.979488,     +0.015841
 1237648704048201919,     +0.002536,        433865113644,     +0.023969,    +16.927002,     +0.014137,    +16.324461,     +0.016199,    +15.628834,     +0.021042,    +14.979488,     +0.015841
 1237648704048201919,     +0.002108,        433866161234,     +0.023969,    +16.954615,     +0.012854,    +16.277416,     +0.014295,    +15.656023,     +0.014097,    +14.991406,     +0.012729
 1237648704048201919,     +0.002108,        433866161234,     +0.023969,    +16.954615,     +0.012854,    +16.277416,     +0.014295,    +15.656023,     +0.014097,    +14.991406,     +0.012729
 1237648704049840359,     +0.000895,        433865227191,     +0.026738,    +15.932769,     +0.006669,    +15.394231,     +0.007737,    +14.677535,     +0.006082,    +14.243319,     +0.007450
 1237648704049840359,     +0.005133,        433865751342,     +0.026738,    +15.953576,     +0.006586,    +15.402296,     +0.006297,    +14.703306,     +0.004775,    +14.246408,     +0.006372
 1237648704049905959,     +0.003231,        433865799398,     +0.029605,    +15.865629,     +0.005854,    +15.318433,     +0.006501,    +14.620363,     +0.005530,    +14.107949,     +0.006389
 1237648704049905959,     +0.001529,        433866065257,     +0.029606,    +15.851813,     +0.005821,    +15.308085,     +0.005715,    +14.624490,     +0.004418,    +14.094731,     +0.005494
 1237648704051937472,     +0.000234,        433866006861,     +0.041688, -9.999995E008, -9.999995E008,    +16.898647,     +0.023974,    +16.260698,     +0.028602, -9.999995E008, -9.999995E008
 1237648704051937472,     +0.000234,        433866006861,     +0.041688, -9.999995E008, -9.999995E008,    +16.898647,     +0.023974,    +16.260698,     +0.028602, -9.999995E008, -9.999995E008
 1237648704052789468,     +0.002112,        433865579483,     +0.037805,    +16.791061,     +0.015260,    +16.160551,     +0.012159,    +15.494434,     +0.013270,    +14.921172,     +0.012187
 1237648704052789468,     +0.001299,        433865899187,     +0.037802, -9.999995E008, -9.999995E008,    +16.201805,     +0.011769,    +15.490222,     +0.011899,    +14.906556,     +0.014510
 1237648704053051635,     +0.008857,        433865887975,     +0.047952,    +16.733788,     +0.009249,    +16.082440,     +0.010356,    +15.390311,     +0.010823,    +14.851406,     +0.013148
 1237648704053051635,     +0.006011,        433866095280,     +0.047952,    +16.711218,     +0.012615,    +16.173693,     +0.010797,    +15.406387,     +0.010991,    +14.867656,     +0.010909
 1237648704053313717,     +0.001063,        433865351710,     +0.045334,    +16.970625,     +0.011153,    +16.318740,     +0.013279,    +15.530859,     +0.013425,    +14.904003,     +0.014693
 1237648704053313717,     +0.000236,        433866072172,     +0.045335,    +16.945848,     +0.015386,    +16.342648,     +0.016599,    +15.578892,     +0.014187,    +14.914420,     +0.012381
 1237648704053706887,     +0.001265,        433865298648,     +0.038885,    +16.659933,     +0.008758,    +16.017693,     +0.011757,    +15.381020,     +0.013390,    +14.971690,     +0.017601
 1237648704053706887,     +0.002164,        433866075626,     +0.038884,    +16.628386,     +0.012093,    +16.039910,     +0.015704,    +15.443054,     +0.012924,    +15.009194,     +0.013817
 1237648704055083194,     +0.001439,        433865446859,     +0.042431,    +16.899265,     +0.015192,    +16.270110,     +0.014978,    +15.553750,     +0.013396,    +14.982335,     +0.015406
 1237648704055083194,     +0.002172,        433865608349,     +0.042431,    +16.887386,     +0.016993,    +16.278702,     +0.015918,    +15.564722,     +0.015057,    +14.971023,     +0.016601
 1237648704055869691,     +0.002815,        433865604999,     +0.037755,    +16.948185,     +0.016870,    +16.347616,     +0.016332,    +15.626738,     +0.015755,    +15.011334,     +0.017310
 1237648704055869691,     +0.001378,        433865606738,     +0.037754, -9.999995E008, -9.999995E008,    +16.357563,     +0.016682,    +15.583129,     +0.016083,    +15.004461,     +0.016592
